,TSLA,INTC,AMD,AAPL,MSFT,SPY,GOOG,FB,IBM
2014-09-24,50.428,29.305494997199997,3.7,23.070624321100002,41.5609902957,177.199058809,587.99,78.535,148.799993112
2014-09-25,49.39,28.791067603000002,3.63,22.1908796295,40.6429055483,174.339863733,575.06,77.22,146.24661587100002
2014-09-26,49.32,28.892266434699998,3.6,22.8438859985,40.9695318526,175.72506383200005,577.1,78.79,147.059054084
2014-09-29,49.052,29.431993536799997,3.55,22.6987734721,40.9960150665,175.40540227099999,576.36,79.0,146.734078799
2014-09-30,48.536,29.364527649,3.41,22.8438859985,40.9253931628,174.94366890400002,577.36,79.04,146.881091428
2014-10-01,48.048,28.6645690635,3.35,22.487906832100002,40.5193172169,172.572845658,568.27,76.55,144.822914621
2014-10-02,50.284,28.2682069728,3.39,22.651158424299997,40.3957288855,172.599484122,570.08,77.08,144.621739445
2014-10-03,51.042,28.6983020073,3.4,22.587671694,40.687044238,174.49969451400003,575.28,77.44,145.98354064
2014-10-06,52.124,28.7657678951,3.36,22.587671694,40.687044238,174.29546629400002,577.35,77.555,146.269828391
2014-10-07,51.914,28.226040793000003,3.28,22.390409353400003,40.1926909125,171.604981487,563.74,76.29,143.69323863
2014-10-08,51.856,28.900699670599998,3.28,22.8552229146,41.296158157,174.606248368,572.5,77.52,146.517428609
2014-10-09,51.402,28.352539332600003,2.95,22.9051053456,40.4751785271,171.14324812,560.88,75.91,144.24260161200002
2014-10-10,47.382,26.9104559816,2.72,22.839351232,38.868530219200004,169.189760801,544.49,72.91,143.863463779
2014-10-13,44.918,26.5393935989,2.74,22.6307519753,38.5330761768,166.410481116,533.21,72.99,141.998724642
2014-10-14,45.412,27.104420408899998,2.62,22.390409353400003,38.6036980805,166.667986262,537.94,73.59,142.215374832
2014-10-15,45.94,26.3749454975,2.61,22.1160559831,38.1534834447,165.54029131,530.03,73.21,140.62918594
2014-10-16,45.27,26.016532968699998,2.64,21.8258309302,37.7297520229,165.398219505,524.51,72.63,139.151322143
2014-10-17,45.496,26.4634944752,2.72,22.145531965,38.5154207009,167.351706824,511.17,75.95,140.86131114399998
2014-10-20,46.094,26.6321591946,2.67,22.6194150592,38.912668908899995,168.976653094,520.84,76.95,130.841239849
2014-10-21,47.06800000000001,27.500782499499998,2.77,23.2338759133,39.6188879454,172.324219999,526.54,78.69,126.29932336200001
2014-10-22,46.22,27.2140524765,2.64,23.351779841,39.1775010476,171.09885068100002,532.71,78.37,125.185122384
2014-10-23,47.058,27.5682483873,2.69,23.7689783546,39.7424762768,173.087855951,543.98,80.04,125.486885149
2014-10-24,47.048,27.9814769499,2.68,23.8574063004,40.7223551899,174.41977912299996,539.78,80.67,125.40951008100001
2014-10-27,44.334,27.998343421799998,2.66,23.832465084899997,40.5281449548,174.180032952,540.77,80.28,125.24702243799999
2014-10-28,48.554,28.4537381642,2.72,24.202048550700002,41.0401537563,176.177917711,548.9,80.77,126.585611113
2014-10-29,47.62,28.6055364117,2.77,24.3380915442,41.1549143497,175.91153307599998,549.33,75.86,126.47728601799999
2014-10-30,47.732,27.475482791599998,2.75,24.2564657481,40.6517332862,177.039228028,550.31,74.11,127.165924122
2014-10-31,48.34,28.6814355354,2.8,24.4877388371,41.4462297022,179.06375125,559.08,74.99,127.204611656
2014-11-03,48.518,28.934432614499997,2.87,24.8051724887,41.8787888621,179.16142561599997,555.22,73.88,127.173661629
2014-11-04,47.786,29.1283970418,2.83,24.6237818306,41.9935494555,178.53986146900002,554.11,75.76,125.85054796799999
2014-11-05,46.194,28.660352445500003,2.8,24.6827337945,42.2495538562,179.66755642099997,545.92,74.83,125.208334904
2014-11-06,48.244,28.711289090799998,2.76,24.7530226745,42.9910838445,180.38679493400002,542.04,75.26,125.78091040700001
2014-11-07,48.04,28.5075425094,2.78,24.823615471500002,42.9734283686,180.555505203,541.01,75.6,126.256113896
2014-11-10,48.386,28.235880401,2.76,24.7826261055,43.1588108656,181.123792423,547.49,75.0,127.36232529700001
2014-11-11,50.216,28.2783276054,2.73,24.9807413744,43.1411553897,181.30138217900003,550.29,74.61,127.214311095
2014-11-12,49.82,28.3377536916,2.71,25.333705359099998,43.0617057481,181.10603344700002,547.31,74.72,126.139260579
2014-11-13,50.34,28.5924369183,2.66,25.691223717899998,43.794407998500006,181.31026166700002,545.38,74.25,126.81700981700001
2014-11-14,51.736,28.821651822399996,2.61,26.000921149699998,43.7679247846,181.35465910599999,544.4,74.88,127.884270113
2014-11-17,50.79600000000001,29.067845608200003,2.67,25.9576545967,43.6619919291,181.470092447,536.51,74.24,127.884270113
2014-11-18,51.54,29.46684933,2.65,26.2946782725,43.300054672899996,182.51787201,535.03,74.34,126.115889915
2014-11-19,49.548,29.161229458,2.63,26.1125033126,42.8380926617,182.224848912,536.99,73.33,125.757539743
2014-11-20,49.742,30.5195400004,2.69,26.4859619804,43.2645191336,182.544510473,534.83,73.6,125.142112274
2014-11-21,48.556,30.2139201284,2.77,26.5223969724,42.6248794257,183.521254132,537.5,73.75,125.360238466
2014-11-24,49.344,30.774223227100002,2.83,27.0131307706,42.2784079172,184.03626442599997,539.27,74.01,126.318435665
2014-11-25,49.618,30.833649313400002,2.83,26.7797191032,42.1718012992,183.903072108,541.08,75.63,126.01461704100001
2014-11-26,49.688,31.326036885,2.84,27.098525283,42.4205500745,184.373684963,540.37,77.62,126.162631242
2014-11-28,48.904,31.6231673162,2.79,27.082584974,42.4738533835,183.98298749900002,541.83,77.7,126.33401610700001
2014-12-01,46.328,31.555251789,2.67,26.203590792600004,43.193448055,182.704341254,533.8,75.1,125.843232176
2014-12-02,46.286,31.9202977473,2.68,26.103394564699997,43.0513058976,183.88531313299998,533.75,75.46,126.72352716399999
2014-12-03,45.86,31.775977252199997,2.74,26.3994288745,42.713718274,184.59567215799999,531.32,74.88,128.164718073
2014-12-04,45.65600000000001,31.801445574899997,2.69,26.299232646500002,43.3888935213,184.39144393799998,537.31,75.24,127.79857768
2014-12-05,44.742,31.9797238336,2.66,26.187650483600002,43.015770358299996,184.69334652400002,525.26,76.36,127.190940432
2014-12-08,42.872,31.5807201117,2.58,25.595581864,42.371688708,183.45909771799998,526.98,76.52,126.092519252
2014-12-09,43.378,31.317547444099997,2.59,25.9872580277,42.2784079172,183.334784888,533.37,76.84,126.97281424
2014-12-10,41.968,30.9185437223,2.48,25.493108449,41.665419863800004,180.395674422,526.06,76.18,125.04083939899999
2014-12-11,41.776,31.156248067199996,2.49,25.417961278099998,41.9052847543,181.31026166700002,528.34,77.73,125.47709178299999
2014-12-12,41.4,30.7529996249,2.52,24.9875729354,41.7098392879,178.380030688,518.66,77.83,121.04445595799999
2014-12-15,40.808,30.4940716778,2.47,24.644856292100002,41.4610905126,177.15466137,513.8,76.99,119.237124655
2014-12-16,39.562,30.1884518057,2.5,24.3078326163,40.119623903000004,175.73394332,495.39,74.69,117.95173816799999
2014-12-17,41.164,30.7657337863,2.55,24.9147029514,40.6348892232,179.179184592,504.89,76.11,118.35682966700001
2014-12-18,43.652,31.427910175700003,2.55,25.652511538899997,42.2162207234,183.61004812299998,511.1,78.4,122.836206819
2014-12-19,43.858,30.8760965178,2.57,25.454396270100002,42.340595111,184.386933158,516.35,79.88,123.48279517299999
2014-12-22,44.52,31.589209552600003,2.66,25.7185499619,42.6248794257,185.23512019400002,524.87,81.45,125.765329964
2014-12-23,44.194,31.775977252199997,2.67,25.627462482,43.042422012799996,185.485112162,530.59,80.61,126.388547655
2014-12-24,44.452,31.7844666931,2.65,25.506771570999998,42.767021583,185.50296873099998,528.77,80.77,126.06135836799999
2014-12-26,45.56399999999999,31.8778505429,2.65,25.9576545967,42.536040577399994,186.101163798,534.03,80.775,126.466449866
2014-12-29,45.142,31.563741229899996,2.66,25.9394371008,42.1540335296,186.35115576599998,530.33,80.02,125.04083939899999
2014-12-30,44.44600000000001,31.2071847125,2.63,25.622908108,41.7720264818,185.351187893,530.42,79.22,124.682489227
2014-12-31,44.482,30.808180990700002,2.67,25.135590090300003,41.2656450463,183.511961269,526.4,78.02,124.986307851
2015-01-02,43.862,30.8676070769,2.69,24.8964854554,41.5410454761,183.413750139,524.81,78.45,126.248323675
2015-01-05,42.018,30.5195400004,2.66,24.1951118598,41.1545964859,180.10135656,513.87,77.19,124.26181728600001
2015-01-06,42.256,29.9507474608,2.63,24.197389046799998,40.5549342597,178.40498248900002,501.96,76.15,121.581981216
2015-01-07,42.19,30.5789660867,2.58,24.5366899096,41.07019958,180.62812535,501.1,76.15,120.787378661
2015-01-08,42.12300000000001,31.1477586263,2.61,25.479445326999997,42.2784079172,183.83337951400003,502.68,78.175,123.41268318200001
2015-01-09,41.332,31.2071847125,2.63,25.506771570999998,41.9230525239,182.36021255900002,496.17,77.74,123.950208441
2015-01-12,40.442,31.071353658299998,2.63,24.878267959400002,41.3989033188,180.931687026,492.55,76.72,121.87021939799999
2015-01-13,40.85,30.9864592494,2.66,25.0991550983,41.1812481404,180.422774805,496.18,76.45,122.15845758
2015-01-14,38.538,30.859117636,2.63,25.0035132443,40.8258927471,179.33352408599998,500.87,76.28,121.371645246
2015-01-15,38.374,30.7232865818,2.52,24.3249115188,40.403908217600005,177.690719723,501.79,74.05,120.413448046
2015-01-16,38.614,30.9440120449,2.39,24.1359049979,41.0790834648,180.021001998,508.08,75.18,122.41553487700001
2015-01-20,38.386,30.638392172899998,2.24,24.7575770485,41.2123417373,180.404918235,506.9,76.24,122.267520676
2015-01-21,39.314,30.969480367600003,2.45,24.9465835694,40.7947991502,181.31560326299999,518.04,76.74,118.481473206
2015-01-22,40.324,31.3345263259,2.47,25.595581864,41.8697492149,184.01194520599998,534.39,77.65,121.052246179
2015-01-23,40.258,30.939767324499996,2.45,25.7276587099,41.9141686391,183.00304904799998,539.95,77.83,121.426176794
2015-01-26,41.31,30.3964431075,2.61,25.7549849539,41.7631425969,183.431606708,535.21,77.495,121.807897629
2015-01-27,41.19600000000001,29.0211536833,2.7,24.8532189024,37.8986526949,181.012041587,518.63,75.78,119.712328144
2015-01-28,39.874,28.6730866068,2.63,26.2582432806,36.5927216245,178.69068759599998,510.0,76.24,118.06080126399999
2015-01-29,41.04,29.042377285500002,2.61,27.075753413,37.3212001808,180.342420243,510.66,78.0,121.122358169
2015-01-30,40.72,28.0491127014,2.57,26.6795228753,35.8908947227,178.07463596,534.52,75.91,119.431880184
2015-02-02,42.188,28.5669685957,2.67,27.0142693641,36.672676588,180.279922251,528.48,74.99,120.483560037
2015-02-03,43.672,28.609415800100003,2.76,27.0188237381,36.9569609026,182.88698134900002,529.24,75.4,123.451634288
2015-02-04,43.71,28.7282679726,2.85,27.226047755,37.170174138600004,182.190575152,522.76,75.63,122.27531089700001
2015-02-05,44.198,29.0189706842,3.31,27.4196086498,37.7120911134,184.029801775,527.58,75.615,123.015381905
2015-02-06,43.472,28.467490540100002,3.03,27.1887114951,37.6765555741,183.520889554,531.0,74.47,122.945269914
2015-02-09,43.496,28.1554126291,3.04,27.3693142201,37.6321361499,182.69948737299998,527.83,74.44,122.18431463200001
2015-02-10,43.258,28.8137687701,3.04,27.8951196219,37.8453493859,184.645853411,536.94,75.19,124.38873148100001
2015-02-11,42.56,28.685517573800002,3.07,28.5489472085,37.6499039196,184.752992826,535.97,76.51,124.10631508700001
2015-02-12,40.576,29.1771471597,3.12,28.9101526585,38.2806597427,186.52972145799998,542.93,76.23,124.357351881
2015-02-13,40.754,29.3780740339,3.15,29.051891505900002,38.9736027596,187.297553932,549.01,75.74,125.832193047
2015-02-17,40.87,29.6987020246,3.11,29.2233497891,38.9913705292,187.592187323,542.84,75.6,126.27150743600001
2015-02-18,40.892,29.2968482762,3.08,29.4256705633,38.946635134,187.61004389200002,539.7,76.71,127.236430114
2015-02-19,42.341,29.249822837600004,3.055,29.3650886366,38.9197938968,187.476119623,542.87,79.42,128.57006308200002
2015-02-20,43.422,29.420824432600003,3.06,29.6039871778,39.237415203299996,188.60108348,538.95,79.895,128.381785487
2015-02-23,41.467,28.8650692487,3.06,30.405268888000002,39.5013540355,188.57429862700002,531.91,78.84,127.801262901
2015-02-24,40.822,29.420824432600003,3.11,30.2155217213,39.4476715611,189.10999570200002,536.09,78.45,129.307483665
2015-02-25,40.752,29.023245724099997,3.1,29.442816391599997,39.3582007706,188.94928657900002,543.87,79.56,127.72281390200001
2015-02-26,41.438,28.7710183714,3.08,29.8143093386,39.4163567844,188.726079465,555.48,80.41,126.20090333799999
2015-02-27,40.668,28.4290151812,3.11,29.367374747,39.2329416638,188.083242975,558.4,78.97,127.04030761799999
2015-03-02,39.465,29.1215716413,3.21,29.511399704899997,39.2597829009,189.270704824,571.34,79.75,125.894952245
2015-03-03,39.912,29.1514969204,3.14,29.5731246869,38.7229581575,188.493944065,573.64,79.6,126.326421735
2015-03-04,40.487,29.1728721198,3.05,29.3856636306,38.5216488788,187.699326738,573.37,80.895,125.063392865
2015-03-05,40.126,28.8394190094,2.98,28.898722106300006,38.5708578136,187.904683533,575.33,81.21,126.44409523200001
2015-03-06,38.776,28.3777147027,2.92,28.942158204699997,37.8998268843,185.261905047,567.685,80.005,124.34166208200001
